name,local_path,beauty_raw,status,beauty_1to5,department,avg_rating,avg_difficulty,would_take_again_percent,school_name
Ronald Claude Henry,Ronald Claude Henry.jpg,21.20716095,ok,1.28,Engineering,4.5,2,-1,USC
Ron Artstein,Ron Artstein.jpg,24.52982712,ok,1.72,Computer Science,2,3.1,22.2,USC
Rohit  Bhargava,Rohit_Bhargava.jpg,22.18131256,ok,1.1,Engineering,4.5,4.3,-1,UIUC
Roger Georges Ghanem,Roger Georges Ghanem.jpg,30.84076309,ok,2.96,Engineering,1.9,3.4,15.4,USC
Robin Jia,Robin Jia.jpg,30.02924347,ok,2.85,Computer Science,5,3.6,100,USC
Robert Brett Williams,Robert Brett Williams.jpg,27.72837067,ok,2.37,Engineering,4,3,100,USC
Robert B. Haber,Robert_B._Haber.jpg,28.29468536,ok,2.29,Science,2.9,3.4,100,UIUC
Robert Arno Scholtz,Robert Arno Scholtz.jpg,26.71851921,ok,2.12,Engineering,4.5,4.3,100,USC
Rizwan  Uddin,Rizwan_Uddin.jpg,35.75278854,ok,4.1,Engineering,3.3,4,66.7,UIUC
Richard Wirz,Richard Wirz.jpg,36.1146431,ok,4.82,Engineering,4,4,100,UCLA
Richard M. Leahy,Richard M. Leahy.jpg,31.16539001,ok,3.06,Engineering,4.5,1.8,100,USC
Richard L. Weaver,Richard_L._Weaver.jpg,28.5994091,ok,2.47,Physics,4.9,2.8,-1,UIUC
Richard Korf,Richard Korf.jpg,21.75878716,ok,1.18,Computer Science,3.3,4.3,40,UCLA
Reza Jafarkhani,Reza Jafarkhani.png,35.34711456,ok,3.98,Engineering,4.9,2.2,96.6,USC
Rehan Kapadia,Rehan Kapadia.jpg,36.61048508,ok,4.15,Engineering,2.8,3.9,33.3,USC
Ramez M. Hajj,Ramez_M._Hajj.jpg,23.94332123,ok,1.28,Engineering,5,2,100,UIUC
Ramesh Govindan,Ramesh Govindan.jpg,32.75999451,ok,3.31,Computer Science,4.3,4.5,90.9,USC
Ram Nevatia,Ram Nevatia.jpg,20.98764992,ok,1.23,Computer Science,2.3,3.5,42.9,USC
Rakesh  Kumar,Rakesh_Kumar.jpg,24.29035187,ok,1.34,Engineering,3.4,4.2,50,UIUC
