name,school_name,local_path
Sheila Greibach,UCLA,Sheila Greibach.png
Eliezer Gafni,UCLA,Eliezer Gafni.jpg
Eleazar Eskin,UCLA,Eleazar Eskin.png
Alyson Fletcher,UCLA,Alyson Fletcher.png
Milos Ercegovac,UCLA,Milos Ercegovac.jpg
Jason Ernst,UCLA,Jason Ernst.jpg
Paul Eggert,UCLA,Paul Eggert.jpg
Michael Dyer,UCLA,Michael Dyer.png
Adnan Darwiche,UCLA,Adnan Darwiche.jpg
Jason (Jingsheng) Cong,UCLA,Jason (Jingsheng) Cong.jpg
Tyson Condie,UCLA,Tyson Condie.jpg
Wesley Chu,UCLA,Wesley Chu.png
John (Junghoo) Cho,UCLA,John (Junghoo) Cho.jpg
Kai-Wei Chang,UCLA,Kai-Wei Chang.jpg
Alfonso Cardenas,UCLA,Alfonso Cardenas.png
Rajive Bagrodia,UCLA,Rajive Bagrodia.png
Algirdas Avizienis,UCLA,Algirdas Avizienis.jpg
Alan N. Willson Jr.,UCLA,"Alan N. Willson, Jr.jpg"
Donald M. Wiberg,UCLA,Donald M. Wiberg.jpg
Daniel Yang,UCLA,Daniel Yang.jpg
Russell Westmann,UCLA,Russell Westmann.jpg
Owen Smith,UCLA,Owen Smith.jpg
D. Lewis (Tino) Mingori,UCLA,D. Lewis (Tino) Mingori.jpg
Anthony Mills,UCLA,Anthony Mills.jpg
Amy Rowat,UCLA,Amy Rowat.jpg
Thomas Hahn,UCLA,Thomas Hahn.jpg
Dario Ringach,UCLA,Dario Ringach.jpg
Gabor Temes,UCLA,Gabor Temes.jpg
Peretz Friedmann,UCLA,Peretz Friedmann.jpg
Oddvar Bendiksen,UCLA,Oddvar Bendiksen.jpg
Zhilin Qu,UCLA,Zhilin Qu.jpg
Xiaolin Zhong,UCLA,Xiaolin Zhong.jpg
Dee Son Pan,UCLA,Dee Son Pan.jpg
Nhan Levan,UCLA,Nhan Levan.jpg
Nader Pouratian,UCLA,Nader Pouratian.jpg
Alan Laub,UCLA,Alan Laub.jpg
Rajeev Jain,UCLA,Rajeev Jain.jpg
Stephen Jacobsen,UCLA,Stephen Jacobsen.jpg
Harold Fetterman,UCLA,Harold Fetterman.jpg
Francis Chen,UCLA,Francis Chen.jpg
Fred Allen,UCLA,Fred Allen.jpg
Matteo Pellegrini,UCLA,Matteo Pellegrini.jpg
Ichiro Nishimura,UCLA,Ichiro Nishimura.jpg
Richard Wirz,UCLA,Richard Wirz.jpg
Peter Narins,UCLA,Peter Narins.jpg
Samuel Murray,UCLA,Samuel Murray.jpg
Tsu-Chin “T-C.” Tsao,UCLA,Tsu-Chin “T-C.” Tsao.jpg
Harold Monbouquette,UCLA,Harold Monbouquette.jpg
Jason Speyer,UCLA,Jason Speyer.jpg
Istvan Mody,UCLA,Istvan Mody.jpg
Harry McKellop,UCLA,Harry McKellop.jpg
Heather Maynard,UCLA,Heather Maynard.jpg
Abdon Sepulveda,UCLA,Abdon Sepulveda.jpg
Veronica Santos,UCLA,Veronica Santos.jpg
Thomas Mason,UCLA,Thomas Mason.jpg
Laurent Pilon,UCLA,Laurent Pilon.jpg
Sotiris Masmanidis,UCLA,Sotiris Masmanidis.jpg
Jayathi Murthy,UCLA,Jayathi Murthy.jpg
Webb Marner,UCLA,Webb Marner.png
Ajit Mal,UCLA,Ajit Mal.png
Robert M’Closkey,UCLA,Robert M’Closkey.jpg
Karen Lyons,UCLA,Karen Lyons.jpg
Albert Carnesale,UCLA,Albert Carnesale.jpg
Xiaochun Li,UCLA,Xiaochun Li.jpg
Adrienne Lavine,UCLA,Adrienne Lavine.jpg
Les Lackman,UCLA,Les Lackman.jpg
John Kim,UCLA,John Kim.jpg
Ann Karagozian,UCLA,Ann Karagozian.jpg
Lihua Jin,UCLA,Lihua Jin.jpg
Zili Liu,UCLA,Zili Liu.jpg
M. Khalid Jawed,UCLA,M. Khalid Jawed.jpg
Daniel Levi,UCLA,Daniel Levi.jpg
Min Lee,UCLA,Min Lee.jpg
Elliot Landaw,UCLA,Elliot Landaw.jpg
Rajesh Kumar,UCLA,Rajesh Kumar.jpg
Jody Kreiman,UCLA,Jody Kreiman.jpg
H Phillip Koeffler,UCLA,H Phillip Koeffler.jpg
Eli Yablonovitch,UCLA,Eli Yablonovitch.jpg
Ingrid Verbauwhede,UCLA,Ingrid Verbauwhede.jpg
Zachary Taylor,UCLA,Zachary Taylor.jpg
Shervin Moloudi,UCLA,Shervin Moloudi.jpg
Tetsuya “teD” Iwasaki,UCLA,Tetsuya “teD” Iwasaki.jpg
Y. Sungtaek Ju,UCLA,Y. Sungtaek Ju.jpg
Mitchell Spearrin,UCLA,Mitchell Spearrin.jpg
Asad M. Madni,UCLA,Asad M. Madni.jpg
Dennis Hong,UCLA,Dennis Hong.jpg
Pedram Khalili,UCLA,Pedram Khalili.jpg
Keisuke Goda,UCLA,Keisuke Goda.png
Dan Goebel,UCLA,Dan Goebel.jpg
Dariush Divsalar,UCLA,Dariush Divsalar.jpg
James Gibson,UCLA,James Gibson.jpg
Ezio Biglieri,UCLA,Ezio Biglieri.jpg
Nasr Ghoniem,UCLA,Nasr Ghoniem.jpg
Rajit Gadh,UCLA,Rajit Gadh.jpg
Kung Yao,UCLA,Kung Yao.jpg
C.K. Ken Yang,UCLA,C.K. Ken Yang.png
Jason Woo,UCLA,Jason Woo.jpg
Chee Wei Wong,UCLA,Chee Wei Wong.jpg
Benjamin Williams,UCLA,Benjamin Williams.jpg
Richard Wesel,UCLA,Richard Wesel.jpg
Yuanxun Ethan Wang,UCLA,Yuanxun Ethan Wang.jpg
Kang Wang,UCLA,Kang Wang.jpg
John Villasenor,UCLA,John Villasenor.jpg
Lieven Vandenberghe,UCLA,Lieven Vandenberghe.jpg
Mihaela van der Schaar,UCLA,Mihaela van der Schaar.jpg
Paulo Tabuada,UCLA,Paulo Tabuada.jpg
Oscar Stafsudd Jr.,UCLA,"Oscar Stafsudd, Jr.jpg"
Mani Srivastava,UCLA,Mani Srivastava.png
Ali Sayed,UCLA,Ali Sayed.jpg
Izhak Rubin,UCLA,Izhak Rubin.jpg
