school,professor,department,avg_rating,avg_difficulty,would_take_again_percent
University of Southern California,Todd Lukesh,Engineering,4.7,3.7,-1.0
University of Southern California,Tom Sloper,Computer Science,3.4000000000000004,2.2,75.0
University of Southern California,Tony Levi,Engineering,3.0,5.0,0.0
University of Southern California,Tony Maxworthy,Engineering,0.0,0.0,-1.0
University of Southern California,Trehan Vibhor,Engineering,3.0,4.5,50.0
University of Southern California,Trevor Krasowsky,Engineering,0.0,0.0,-1.0
University of Southern California,Tyler Davis,Engineering,3.3000000000000003,3.7,66.7
University of Southern California,Ulrich Neumann,Computer Science,3.4000000000000004,2.5,50.0
University of Southern California,Urbashi Mitra,Engineering,2.0,4.3,25.0
University of Southern California,Vasilis Marmarelis,Engineering,5.0,4.0,100.0
University of Southern California,Vatsal Sharan,Computer Science,4.7,4.3,83.30000000000001
University of Southern California,Veronica Eliasson,Engineering,4.5,4.0,-1.0
University of Southern California,Victor Adamchik,Computer Science,2.2,3.9,27.1
University of Southern California,Victoria Stodden,Engineering,1.8,4.6000000000000005,11.1
University of Southern California,Vijay Kumar P.,Engineering,3.8,3.2,40.0
University of Southern California,Viktor Prasanna,Engineering,2.6,4.0,40.0
University of Southern California,Vinay Goyal,Engineering,5.0,3.2,100.0
University of Southern California,Vincent Lee,Engineering,1.7000000000000002,3.8,23.5
University of Southern California,Vincent Ng,Engineering,3.0,3.0,0.0
University of Southern California,Virgil Adumitroaie,Engineering,3.5,3.2,100.0
University of Southern California,Vyaas Gururajan,Engineering,5.0,4.0,100.0
University of Southern California,Wade Zeno,Engineering,3.8,2.8000000000000003,60.0
University of Southern California,Wensheng Wu,Computer Science,1.8,4.0,16.5
University of Southern California,William Halfond,Computer Science,2.5,4.0,36.0
University of Southern California,William Swartout,Computer Science,1.0,5.0,-1.0
University of Southern California,Wilson Chan,Engineering,5.0,2.0,100.0
University of Southern California,Winsor Brown,Computer Science,1.6,3.7,-1.0
University of Southern California,Wyatt Lloyd,Computer Science,4.3,4.0,100.0
University of Southern California,Xiang Ren,Computer Science,0.0,0.0,-1.0
University of Southern California,Xuehai Qian,Engineering,3.7,3.6,60.900000000000006
University of Southern California,Xuezhe Ma,Computer Science,5.0,2.0,100.0
University of Southern California,Yalda Khashe,Engineering,3.7,2.3000000000000003,71.4
University of Southern California,Yan Jin,Engineering,3.2,3.1,50.0
University of Southern California,Yan Liu,Computer Science,2.0,3.8,20.0
University of Southern California,Yang Insoon,Engineering,0.0,0.0,-1.0
University of Southern California,Yann Staelens,Engineering,3.3000000000000003,3.5,50.0
University of Southern California,Yanzhi Wang,Engineering,4.9,3.0,100.0
University of Southern California,Yao Ke-thia,Computer Science,0.0,0.0,-1.0
University of Southern California,Yao-Yi Chiang,Computer Science,3.0,4.800000000000001,50.0
University of Southern California,Yasser Khan,Engineering,4.4,2.0,87.5
University of Southern California,Yigal Arens,Industrial & Systems Engineering,5.0,2.0,100.0
University of Southern California,Yolanda Gil,Engineering,0.0,0.0,-1.0
University of Southern California,Yong Chen,Engineering,4.9,2.8000000000000003,100.0
University of Southern California,Yue Wang,Computer Science,1.5,3.5,0.0
University of Southern California,Yue Zhao,Computer Science,4.4,2.5,87.5
University of Southern California,Yvonne Marchand,Engineering,2.0,4.5,0.0
University of Southern California,Zizhao Hu,Computer Science,5.0,2.0,100.0
University of Southern California,Zuhair Ibrahim,Engineering,1.0,5.0,0.0
University of Southern California,Zune Nguyen,Engineering,5.0,2.2,100.0
Wake Forest University,Erin Henslee,Engineering,5.0,2.0,100.0
Wake Forest University,Joshua Dickenson,Engineering,0.0,0.0,-1.0
Wake Forest University,Joshua Dickinson,Engineering,4.0,3.0,100.0
Wake Forest University,Kyana Young,Engineering,3.5,3.6,54.5
Wake Forest University,Kyle Luthy,Engineering,0.0,0.0,-1.0
Wake Forest University,Melissa Kenny,Engineering,3.8,2.9000000000000004,76.9
Wake Forest University,Patricia Clayton,Engineering,5.0,1.7000000000000002,100.0
Wake Forest University,William Crowe,Engineering,5.0,4.3,100.0
Wake Forest University,Yasin Rabby,Engineering,3.1,3.4000000000000004,62.5
